Time,Laser Endpoint Raw Signal,Laser Endpoint Signal,O2 Flow,Table RF Forward Power,Table RF Power,ICP RF Forward Power,ICP RF Power
0.00,3.15561389923096,0,0.0976592302322388,0.622577607631683,0,0.329599916934967,0
0.01,3.27768802642822,0,0.122074037790298,0.622577607631683,0,0.329599916934967,0
0.02,3.20444345474243,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
0.03,3.25327301025391,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
0.04,3.25327301025391,0,0.0488296151161194,0.622577607631683,0,0.34791100025177,0
0.05,3.27768802642822,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
0.06,3.18002867698669,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
0.07,3.30515456199646,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
0.08,3.27768802642822,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.09,3.15561389923096,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.10,3.20444345474243,0,0.0732444226741791,0.613422036170959,0,0.329599916934967,0
0.11,3.20444345474243,0,0.0244148075580597,0.613422036170959,0,0.329599916934967,0
0.12,3.20444345474243,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
0.13,3.10678434371948,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
0.14,3.20444345474243,0,0.0732444226741791,0.613422036170959,0,0.329599916934967,0
0.15,3.10678434371948,0,0.122074037790298,0.622577607631683,0,0.329599916934967,0
0.16,3.27768802642822,0,0.122074037790298,0.622577607631683,0,0.329599916934967,0
0.17,3.10678434371948,0,0.122074037790298,0.622577607631683,0,0.329599916934967,0
0.18,3.20444345474243,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.19,3.10678434371948,0,0.0244148075580597,0.613422036170959,0,0.329599916934967,0
0.20,3.25327301025391,0,0,0.622577607631683,0,0.329599916934967,0
0.21,3.08236956596375,0,0,0.613422036170959,0,0.329599916934967,0
0.22,3.18002867698669,0,-0.0274666585028172,0.622577607631683,0,0.329599916934967,0
0.23,3.10678434371948,0,0,0.622577607631683,0,0.329599916934967,0
0.24,3.15561389923096,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
0.25,3.10678434371948,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.26,3.05795454978943,0,0.0488296151161194,0.613422036170959,0,0.329599916934967,0
0.27,3.13119912147522,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
0.28,3.05795454978943,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
0.29,3.27768802642822,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
0.30,3.25327301025391,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.31,3.27768802642822,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
0.32,3.18002867698669,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
0.33,3.27768802642822,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
0.34,3.15561389923096,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
0.35,3.27768802642822,0,0.0244148075580597,0.613422036170959,0,0.329599916934967,0
0.36,3.22885823249817,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
0.37,3.13119912147522,0,0,0.613422036170959,0,0.329599916934967,0
0.38,3.27768802642822,0,0,0.613422036170959,0,0.329599916934967,0
0.39,3.08236956596375,0,0.0244148075580597,0.613422036170959,0,0.329599916934967,0
0.40,3.27768802642822,0,-0.0274666585028172,0.622577607631683,0,0.329599916934967,0
0.41,3.13119912147522,0,0,0.622577607631683,0,0.329599916934967,0
0.42,3.20444345474243,0,-0.0274666585028172,0.622577607631683,0,0.329599916934967,0
0.43,3.08236956596375,0,0,0.613422036170959,0,0.329599916934967,0
0.44,3.10678434371948,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
0.45,3.20444345474243,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.46,3.05795454978943,0,0.0976592302322388,0.622577607631683,0,0.329599916934967,0
0.47,3.15561389923096,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.48,3.20444345474243,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
0.49,3.10678434371948,0,0,0.622577607631683,0,0.329599916934967,0
0.50,3.25327301025391,0,-0.0274666585028172,0.622577607631683,0,0.329599916934967,0
0.51,3.08236956596375,0,-0.0274666585028172,0.622577607631683,0,0.329599916934967,0
0.52,3.20444345474243,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
0.53,3.10678434371948,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.54,3.22885823249817,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.55,3.13119912147522,0,0.0976592302322388,0.622577607631683,0,0.329599916934967,0
0.56,3.27768802642822,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.57,3.27768802642822,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.58,3.25327301025391,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.59,3.27768802642822,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
0.60,3.25327301025391,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.61,3.18002867698669,0,0.0488296151161194,0.613422036170959,0,0.329599916934967,0
0.62,3.25327301025391,0,0.0244148075580597,0.613422036170959,0,0.329599916934967,0
0.63,3.08236956596375,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
0.64,3.00607323646545,0,0,0.622577607631683,0,0.329599916934967,0
0.65,3.18002867698669,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
0.66,3.05795454978943,0,0,0.622577607631683,0,0.329599916934967,0
0.67,3.10678434371948,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
0.68,3.05795454978943,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.69,3.22885823249817,0,0.0488296151161194,0.613422036170959,0,0.329599916934967,0
0.70,3.13119912147522,0,0.0488296151161194,0.613422036170959,0,0.329599916934967,0
0.71,3.25327301025391,0,0.0732444226741791,0.613422036170959,0,0.329599916934967,0
0.72,3.20444345474243,0,0.0732444226741791,0.613422036170959,0,0.329599916934967,0
0.73,3.27768802642822,0,0.0976592302322388,0.622577607631683,0,0.329599916934967,0
0.74,3.10678434371948,0,0.149540692567825,0.622577607631683,0,0.329599916934967,0
0.75,3.27768802642822,0,0.122074037790298,0.622577607631683,0,0.329599916934967,0
0.76,3.08236956596375,0,0.122074037790298,0.613422036170959,0,0.329599916934967,0
0.77,3.27768802642822,0,0.0976592302322388,0.613422036170959,0,0.329599916934967,0
0.78,3.18002867698669,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
0.79,3.27768802642822,0,-0.0274666585028172,0.622577607631683,0,0.329599916934967,0
0.80,3.25327301025391,0,0,0.613422036170959,0,0.329599916934967,0
0.81,3.08236956596375,0,0,0.613422036170959,0,0.329599916934967,0
0.82,3.13119912147522,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.83,3.10678434371948,0,0.122074037790298,0.613422036170959,0,0.329599916934967,0
0.84,3.22885823249817,0,0.122074037790298,0.622577607631683,0,0.329599916934967,0
0.85,3.08236956596375,0,0.122074037790298,0.622577607631683,0,0.329599916934967,0
0.86,3.27768802642822,0,0.0976592302322388,0.622577607631683,0,0.329599916934967,0
0.87,3.08236956596375,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.88,3.13119912147522,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.89,3.10678434371948,0,0.0976592302322388,0.622577607631683,0,0.329599916934967,0
0.90,3.15561389923096,0,0.0976592302322388,0.622577607631683,0,0.329599916934967,0
0.91,3.15561389923096,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.92,3.20444345474243,0,0.0976592302322388,0.622577607631683,0,0.329599916934967,0
0.93,3.18002867698669,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.94,3.27768802642822,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.95,3.10678434371948,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.96,3.22885823249817,0,0.0976592302322388,0.622577607631683,0,0.34791100025177,0
0.97,3.08236956596375,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.98,3.13119912147522,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
0.99,3.25327301025391,0,0.0732444226741791,0.622577607631683,0,0.34791100025177,0
1.00,3.18002867698669,0,0.0732444226741791,0.622577607631683,0,0.34791100025177,0
1.01,3.25327301025391,0,0.0976592302322388,0.622577607631683,0,0.34791100025177,0
1.02,3.10678434371948,0,0.122074037790298,0.622577607631683,0,0.34791100025177,0
1.03,3.30515456199646,0,0.149540692567825,0.622577607631683,0,0.34791100025177,0
1.04,3.18002867698669,0,0.122074037790298,0.622577607631683,0,0.34791100025177,0
1.05,3.27768802642822,0,0.122074037790298,0.622577607631683,0,0.34791100025177,0
1.06,3.18002867698669,0,0.122074037790298,0.622577607631683,0,0.34791100025177,0
1.07,3.30515456199646,0,0.0488296151161194,0.622577607631683,0,0.34791100025177,0
1.08,3.05795454978943,0,0,0.613422036170959,0,0.329599916934967,0
1.09,3.27768802642822,0,0,0.622577607631683,0,0.329599916934967,0
1.10,3.00607323646545,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
1.11,3.20444345474243,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
1.12,3.00607323646545,0,0.149540692567825,0.622577607631683,0,0.34791100025177,0
1.13,3.20444345474243,0,0.149540692567825,0.622577607631683,0,0.34791100025177,0
1.14,3.08236956596375,0,0.149540692567825,0.622577607631683,0,0.34791100025177,0
1.15,3.27768802642822,0,0.0976592302322388,0.622577607631683,0,0.329599916934967,0
1.16,3.22885823249817,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
1.17,3.20444345474243,0,0.0732444226741791,0.613422036170959,0,0.329599916934967,0
1.18,3.13119912147522,0,0.0732444226741791,0.613422036170959,0,0.329599916934967,0
1.19,3.25327301025391,0,0.0732444226741791,0.613422036170959,0,0.329599916934967,0
1.20,3.22885823249817,0,0.0488296151161194,0.613422036170959,0,0.329599916934967,0
1.21,3.13119912147522,0,0.0488296151161194,0.613422036170959,0,0.329599916934967,0
1.22,3.25327301025391,0,0.0244148075580597,0.613422036170959,0,0.329599916934967,0
1.23,3.13119912147522,0,0.0244148075580597,0.613422036170959,0,0.329599916934967,0
1.24,3.13119912147522,0,0.0732444226741791,0.613422036170959,0,0.329599916934967,0
1.25,3.08236956596375,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
1.26,3.05795454978943,0,0.0976592302322388,0.622577607631683,0,0.329599916934967,0
1.27,3.15561389923096,0,0.122074037790298,0.622577607631683,0,0.329599916934967,0
1.28,3.00607323646545,0,0.0976592302322388,0.613422036170959,0,0.329599916934967,0
1.29,3.15561389923096,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
1.30,3.13119912147522,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
1.31,3.27768802642822,0,0.0976592302322388,0.622577607631683,0,0.329599916934967,0
1.32,3.20444345474243,0,0.122074037790298,0.622577607631683,0,0.329599916934967,0
1.33,3.10678434371948,0,0.122074037790298,0.622577607631683,0,0.329599916934967,0
1.34,3.13119912147522,0,0.0976592302322388,0.622577607631683,0,0.329599916934967,0
1.35,3.10678434371948,0,0.0488296151161194,0.613422036170959,0,0.329599916934967,0
1.36,3.15561389923096,0,0.0488296151161194,0.613422036170959,0,0.329599916934967,0
1.37,3.08236956596375,0,-0.0274666585028172,0.613422036170959,0,0.329599916934967,0
1.38,3.10678434371948,0,-0.0274666585028172,0.613422036170959,0,0.329599916934967,0
1.39,3.20444345474243,0,0,0.613422036170959,0,0.329599916934967,0
1.40,3.05795454978943,0,0.0732444226741791,0.613422036170959,0,0.329599916934967,0
1.41,3.20444345474243,0,0.122074037790298,0.613422036170959,0,0.329599916934967,0
1.42,3.13119912147522,0,0.122074037790298,0.613422036170959,0,0.329599916934967,0
1.43,3.15561389923096,0,0.122074037790298,0.613422036170959,0,0.329599916934967,0
1.44,3.08236956596375,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
1.45,3.27768802642822,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
1.46,3.10678434371948,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
1.47,3.27768802642822,0,0.0244148075580597,0.622577607631683,0,0.34791100025177,0
1.48,3.20444345474243,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
1.49,3.10678434371948,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
1.50,3.10678434371948,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
1.51,3.20444345474243,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
1.52,3.08236956596375,0,0,0.622577607631683,0,0.329599916934967,0
1.53,3.20444345474243,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
1.54,3.08236956596375,0,0.0244148075580597,0.613422036170959,0,0.329599916934967,0
1.55,3.30515456199646,0,0.0488296151161194,0.613422036170959,0,0.329599916934967,0
1.56,3.13119912147522,0,0.0488296151161194,0.613422036170959,0,0.34791100025177,0
1.57,3.27768802642822,0,0,0.613422036170959,0,0.329599916934967,0
1.58,3.22885823249817,0,0,0.613422036170959,0,0.329599916934967,0
1.59,3.25327301025391,0,-0.0274666585028172,0.613422036170959,0,0.329599916934967,0
1.60,3.20444345474243,0,0.0244148075580597,0.613422036170959,0,0.329599916934967,0
1.61,3.25327301025391,0,0.0244148075580597,0.613422036170959,0,0.329599916934967,0
1.62,3.22885823249817,0,0.0488296151161194,0.613422036170959,0,0.329599916934967,0
1.63,3.13119912147522,0,0.0732444226741791,0.613422036170959,0,0.329599916934967,0
1.64,3.30515456199646,0,0.0244148075580597,0.613422036170959,0,0.329599916934967,0
1.65,3.13119912147522,0,-0.0274666585028172,0.613422036170959,0,0.329599916934967,0
1.66,3.18002867698669,0,-0.0762962773442268,0.613422036170959,0,0.329599916934967,0
1.67,3.25327301025391,0,-0.0762962773442268,0.613422036170959,0,0.329599916934967,0
1.68,3.25327301025391,0,0,0.613422036170959,0,0.329599916934967,0
1.69,3.25327301025391,0,0.0244148075580597,0.613422036170959,0,0.329599916934967,0
1.70,3.05795454978943,0,0.0976592302322388,0.613422036170959,0,0.329599916934967,0
1.71,3.27768802642822,0,0.0732444226741791,0.613422036170959,0,0.329599916934967,0
1.72,3.08236956596375,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
1.73,3.25327301025391,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
1.74,3.25327301025391,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
1.75,3.25327301025391,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
1.76,3.22885823249817,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
1.77,3.25327301025391,0,0.0244148075580597,0.613422036170959,0,0.34791100025177,0
1.78,3.15561389923096,0,0.0244148075580597,0.613422036170959,0,0.34791100025177,0
1.79,3.30515456199646,0,0.0488296151161194,0.613422036170959,0,0.34791100025177,0
1.80,3.25327301025391,0,0,0.613422036170959,0,0.34791100025177,0
1.81,3.18002867698669,0,0,0.613422036170959,0,0.34791100025177,0
1.82,3.27768802642822,0,0.0488296151161194,0.613422036170959,0,0.34791100025177,0
1.83,3.10678434371948,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
1.84,3.15561389923096,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
1.85,3.27768802642822,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
1.86,3.18002867698669,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
1.87,3.27768802642822,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
1.88,3.13119912147522,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
1.89,3.27768802642822,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
1.90,3.13119912147522,0,0.0976592302322388,0.622577607631683,0,0.34791100025177,0
1.91,3.27768802642822,0,0.122074037790298,0.622577607631683,0,0.34791100025177,0
1.92,3.13119912147522,0,0.122074037790298,0.622577607631683,0,0.329599916934967,0
1.93,3.25327301025391,0,0.0732444226741791,0.622577607631683,0,0.34791100025177,0
1.94,3.20444345474243,0,0.0488296151161194,0.622577607631683,0,0.329599916934967,0
1.95,3.22885823249817,0,0,0.613422036170959,0,0.34791100025177,0
1.96,3.22885823249817,0,0,0.613422036170959,0,0.34791100025177,0
1.97,3.08236956596375,0,0.0244148075580597,0.613422036170959,0,0.34791100025177,0
1.98,3.10678434371948,0,0.0244148075580597,0.613422036170959,0,0.34791100025177,0
1.99,3.08236956596375,0,0.122074037790298,0.613422036170959,0,0.34791100025177,0
2.00,3.08236956596375,0,0.149540692567825,0.613422036170959,0,0.34791100025177,0
2.01,3.25327301025391,0,0.122074037790298,0.613422036170959,0,0.34791100025177,0
2.02,3.18002867698669,0,0.0976592302322388,0.613422036170959,0,0.34791100025177,0
2.03,3.27768802642822,0,0.0732444226741791,0.613422036170959,0,0.329599916934967,0
2.04,3.20444345474243,0,0.0976592302322388,0.613422036170959,0,0.329599916934967,0
2.05,3.22885823249817,0,0.0732444226741791,0.613422036170959,0,0.329599916934967,0
2.06,3.25327301025391,0,0.0976592302322388,0.613422036170959,0,0.329599916934967,0
2.07,3.13119912147522,0,0.0732444226741791,0.613422036170959,0,0.329599916934967,0
2.08,3.22885823249817,0,0.0244148075580597,0.622577607631683,0,0.329599916934967,0
2.09,3.10678434371948,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
2.10,3.18002867698669,0,0.0488296151161194,0.622577607631683,0,0.34791100025177,0
2.11,3.08236956596375,0,0.0976592302322388,0.622577607631683,0,0.34791100025177,0
2.12,3.18002867698669,0,0.0976592302322388,0.622577607631683,0,0.34791100025177,0
2.13,3.10678434371948,0,0.0976592302322388,0.622577607631683,0,0.34791100025177,0
2.14,3.13119912147522,0,0.122074037790298,0.622577607631683,0,0.34791100025177,0
2.15,3.13119912147522,0,0.0976592302322388,0.622577607631683,0,0.329599916934967,0
2.16,3.00607323646545,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
2.17,3.27768802642822,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
2.18,3.27768802642822,0,0.0732444226741791,0.622577607631683,0,0.34791100025177,0
2.19,3.10678434371948,0,0.122074037790298,0.622577607631683,0,0.329599916934967,0
2.20,3.18002867698669,0,0.122074037790298,0.622577607631683,0,0.34791100025177,0
2.21,3.18002867698669,0,0.122074037790298,0.622577607631683,0,0.34791100025177,0
2.22,3.20444345474243,0,0.122074037790298,0.622577607631683,0,0.329599916934967,0
2.23,3.08236956596375,0,0.0732444226741791,0.622577607631683,0,0.329599916934967,0
2.24,3.03353977203369,0,0.0244148075580597,0.613422036170959,0,0.329599916934967,0
2.25,3.10678434371948,0,0,0.613422036170959,0,0.329599916934967,0
2.26,3.08236956596375,0,0.0244148075580597,0.613422036170959,0,0.329599916934967,0
2.27,3.27768802642822,0,0.0488296151161194,0.613422036170959,0,0.329599916934967,0
2.28,3.05795454978943,0,0.122074037790298,0.622577607631683,0,0.34791100025177,0
2.29,3.18002867698669,0,0.149540692567825,0.613422036170959,0,0.34791100025177,0
2.30,3.10678434371948,0,0.149540692567825,0.613422036170959,0,0.34791100025177,0
2.31,3.3295693397522,0,0.0976592302322388,0.613422036170959,0,0.34791100025177,0
2.32,3.20444345474243,0,0.0976592302322388,0.613422036170959,0,0.34791100025177,0
2.33,3.25327301025391,0,0.0976592302322388,0.613422036170959,0,0.34791100025177,0
